,text,emotion,clean_text
3314,i did feel a bit like i was being mircowaved which wasnt an entirely pleasant feeling,joy,bit like mircowaved wasnt entirely pleasant
3315,i feel anxious for myself moment of truth i feel rather like a tiger in a cage when it comes to testing,fear,anxious moment truth rather like tiger cage comes testing
3316,i feel gloomy upset whatever negative emotions i take a look at my colorful paint pots and it will instantly lift up my mood,sadness,gloomy upset whatever negative emotions take look colorful paint pots instantly lift mood
3317,i feel that sweet potatoes are very under rated,love,sweet potatoes rated
3318,i cannot and i feel a strange sadness for a thing that i m now ready for but cannot do,fear,cannot strange sadness thing ready cannot
3319,i feel quite uncertain that the art i create and my personal brand of creative living are what im here to contribute,fear,quite uncertain art create personal brand creative living contribute
3320,i feel so like distraught and lost being there,fear,like distraught lost
3321,i have a constitution for also not feeling deprived lucky me,sadness,constitution also deprived lucky
3322,i sometimes feel is a gentle reminder of why we are adopting,love,sometimes gentle reminder adopting
3323,i was able to guess or pick up on a lot of the plot twists in this episode from the first hints we were given and whether thats moffat using really obvious foreshadowing or me having a solid grasp of his narrative logic im not sure but i like it it both builds suspense and makes me feel clever,joy,able guess pick lot plot twists episode first hints given whether thats moffat using really obvious foreshadowing solid grasp narrative logic sure like builds suspense makes clever
3324,i mentioned above feel free to hit me up about anything,joy,mentioned free hit anything
3325,i left feeling pretty disappointed in my casting skills,sadness,left pretty disappointed casting skills
3326,i feel nostalgic for old books which i often reread,love,nostalgic old books often reread
3327,i hope that i look back on this in the future and feel glad i documented all her small ways and feel if possible even more love for her than i do now,joy,hope look back future glad documented ways possible even love
3328,i feel when they are distressed in the night is perhaps more than empathy,fear,distressed night perhaps empathy
3329,i have been in my mm comfort zone for too long and i feel the need to get a bit more creative with my composition,joy,mm comfort zone long need get bit creative composition
3330,i grinned at peter feeling somehow triumphant when it was only partially forced,joy,grinned peter somehow triumphant partially forced
3331,i am not feeling too super,joy,super
3332,i do find that this question puts me right at the edge of bringing the love of the dharma into the world an edge that i feel is vital and necessary,joy,find question puts right edge bringing love dharma world edge vital necessary
3333,i feel selfish for it,anger,selfish
3334,i scream every day and every night and no one hears and my face is starting to fall off and i feel anxious and frightened all the time and i don t think i know what anything means anymore,fear,scream every day every night one hears face starting fall anxious frightened think know anything means anymore
3335,i was beginning to feel almost jaded by backpacking i guess the endless bouncing around a title comfort v cash my backpacker struggle with overland travel href http www,sadness,beginning almost jaded backpacking guess endless bouncing around comfort v cash backpacker struggle overland travel
3336,i just feel so depressed and i don t know what would make me happy,sadness,depressed know would make happy
3337,im feeling kind of dumb admitting i was gloating over the fact that i had her now,sadness,dumb admitting gloating fact
3338,i feel furious at myself for being so pathetic furious at her for various reasons,anger,furious pathetic furious various reasons
3339,im still waiting for my new fairy lights to be delivered but i couldnt wait to get the tree up and make the house feel a little more festive,joy,still waiting new fairy lights delivered couldnt wait get tree make house little festive
3340,id probably go with none on and hope that my date admires a confident girl who feels fine without makeup,joy,probably go none hope date admires confident girl feels fine without makeup
3341,i feel strange,fear,strange
3342,ive got no brothers in the family i feel incredibly blessed to be gifted with sisters who drive me up the wall and who also happens to be the ones who make me feel most comfortable being myself,joy,got brothers family incredibly blessed gifted sisters drive wall also happens ones make comfortable
3343,i was escorting a relative on a bike,fear,escorting relative bike
3344,i feel extremely jealous when ranbir works with other directors ayan mukerji filmfare,anger,extremely jealous ranbir works directors ayan mukerji filmfare
3345,i have a rough day every now and then where i feel exhausted all day no matter how much sleep i get and then im good for a week or so,sadness,rough day every exhausted day matter much sleep get good week
3346,i feel the other person is unimportant but it is my interpretation see the trend that i have been misunderstood and that instead of wasting time hence the impatience part having them explain what i feel is already a misunderstanding i try to reexplain my intent,sadness,person unimportant interpretation see trend misunderstood instead wasting hence impatience part explain already misunderstanding try reexplain intent
3347,i feel my lip curl up into a half smile amused at the way he s put it,joy,lip curl half smile amused way put
3348,i have a feeling of being scared but also knowing that i am in for some really big changes in my mind body and spirit,fear,scared also knowing really changes mind spirit
3349,i want their birthmoms to feel confident that they made the right decision,joy,want birthmoms confident made right decision
3350,im currently trying to implement these changes into my life and i already feel more valuable to myself and my business to my family and to myself,joy,currently trying implement changes life already valuable business family
3351,i won t even go in stores because i feel so unwelcome,sadness,even go stores unwelcome
3352,i read too much about discovery and exploration in the wild west and while i feel that those concepts are precious taking part in them often myself this book just brings a refined feel when i sit back in the chair for some quiet time,joy,read much discovery exploration wild west concepts precious taking part often book brings refined sit back chair quiet
3353,i could before the actual thing and then if i still couldn t figure out if i d feel embarrassed not knowing how to get in line or how to get a drink or where to park my car or whatever i just wouldn t go,sadness,could actual thing still embarrassed knowing get line get drink park car whatever go
3354,i am able to say with acuity that feeling exhausted is not normal for anyone,sadness,able say acuity exhausted normal anyone
3355,i looked down and feasted on the view of my own legs and knees and memorized the feel of the cars gentle rocking,love,looked feasted view legs knees memorized cars gentle rocking
3356,i am feeling honored grateful and blessed to get to spend each day with these remarkable th graders,joy,honored grateful blessed get spend day remarkable graders
3357,i tells him not to feel troubled over her,sadness,tells troubled
3358,i feel like an emotional train wreck,sadness,like emotional train wreck
3359,im warning you hes feeling cranky this morning,anger,warning hes cranky morning
3360,i want to be in the future years some of you made me feel amazing and some of you are the best friends i could ever ask for,joy,want future years made amazing best friends could ever ask
3361,i don t mean this to be a serious recollection of feelings only a funny in a not funny sort of way story so let s get back to where the action begins,surprise,mean serious recollection feelings funny funny sort way story let get back begins
3362,i have to deal with the fact that society wants everyone to feel like they re in fake love for a couple of days and then we can all forget what emotions are,sadness,deal fact society wants everyone like fake love couple days forget emotions
3363,i get bored i get scared i feel ignored i feel happy i get silly i choke on my own words i make wishes i have dreams and i still want to believe anything can happen in this world for an ordinary girl a class profile link href http www,sadness,get bored get scared ignored happy get silly choke words make wishes dreams still want believe anything happen world ordinary girl profile
3364,i saw the pair of them walk out of the gates i couldnt help it the months of suppressed feelings of not being homesick came out for a few seconds anyways,sadness,saw pair walk gates couldnt help months suppressed feelings homesick came seconds anyways
3365,i feel free exhilarated,joy,free exhilarated
3366,i said look your moving to fast i am at the point in my life where i feel like a victimized child a child that needs to talk and get things out,sadness,said look moving fast point life like victimized child child needs talk get things
3367,i came to the place on base because i wasnt feeling like i should wander too far afield but now i wish i had been more adventurous as i have heard wonderful things about those salons,joy,came place wasnt like wander far afield wish adventurous heard wonderful things salons
3368,im now feeling a little more resolved to get my shit done too,joy,little resolved get shit done
3369,i get that feeling that my life has been a miserable waste happens less and less as i get older btw ill look at this playlist page of comments and remember,sadness,get life miserable waste happens less less get older btw look playlist page comments remember
3370,i suppose because everyone elses problems are generally much worse than mine so i feel idiotic for not just learning to deal with everything myself,sadness,suppose everyone elses problems generally much worse mine idiotic learning deal everything
3371,i appreciate when i open up to the universe and i feel and receive gentle nudges both through small happenstances and clues that present themselves and also through dreams,love,appreciate universe receive gentle nudges happenstances clues present also dreams
3372,i or lambrusco but the quality is so much higher than a lot of those wines that i feel this is a smart buy for those who like a little sweet and a little bubbly,joy,lambrusco quality much higher lot wines smart buy like little sweet little bubbly
3373,i felt so good in fact i went to zumba half an hour later for an hour and then left there feeling even more energetic if that was possible,joy,good fact went zumba half hour later hour left even energetic possible
3374,i feel your motivation will be satisfied when you read this write up also who understands,joy,motivation satisfied read write also understands
3375,i am waiting for a feeling that special feeling that makes life easy and bearable,joy,waiting special makes life easy bearable
3376,i feel like my girls are really starting to get it and i am loving hearing them sing the christmas songs about jesus,love,like girls really starting get loving hearing sing christmas songs jesus
3377,i feel like i have to preface this post w a disclaimer of some sort before i have an enraged peta after me or something equally as horrible,anger,like preface post w disclaimer sort enraged peta something equally horrible
3378,i hardly feel that way m usually hyper and bouncy around everyone,joy,hardly way usually hyper bouncy around everyone
3379,i reply because they make me feel pretty,joy,reply make pretty
3380,i also told my cousin that i feel like the other family members do not know how to talk to me or are afraid to talk to me,fear,also told cousin like family members know talk afraid talk
3381,i hear the word and i feel stronger and re assured once again,joy,hear word stronger assured
3382,i feel totally lame but i have no idea what to blog about today,sadness,totally lame idea blog today
3383,i feel but is ultimately just ok,joy,ultimately ok
3384,i feel quite jolly in spite of the heat and the lack of commercialism,joy,quite jolly spite heat lack commercialism
3385,i got to walk in the rain and feel triumphant over nature in my rain boots and pink rain coat,joy,got walk rain triumphant nature rain boots pink rain coat
3386,i feel like hiding to prevent others from exposure to my decidedly unpleasant expression of anti christmas cheer or the bah humbugs as i like to call it,sadness,like hiding prevent others exposure decidedly unpleasant expression anti christmas cheer bah humbugs like call
3387,i knew i wanted to somehow include the idea of natural healing and holistic living but the site is also about feeling radiant vibrant and enthusiastic about life at any age,joy,knew wanted somehow include idea natural healing holistic living site also radiant vibrant enthusiastic life age
3388,i like the brush a lot but since returning from spain sob and the release of real techniques i started using the expert face brush for my liquid foundation and the sephora mineral powder brush sat at the back of my collection feeling unloved,sadness,like brush lot since returning spain sob release real techniques started using expert face brush liquid foundation sephora mineral powder brush sat back collection unloved
3389,i feel like i have been screaming at a blank and very solid wall,sadness,like screaming blank solid wall
3390,i cant help but feeling a little hesitant about my decision just because of the magnitude of the decision,fear,help little hesitant decision magnitude decision
3391,i feel so lucky to be nominated for the liebster award,joy,lucky nominated liebster award
3392,i feel like that leaves me as the artistic equivalent of the crack between couch cushions,joy,like leaves artistic equivalent crack couch cushions
3393,i can feel it and look with eager anticipation for what is to come,joy,look eager anticipation come
3394,i start to feel agitated inside,anger,agitated inside
3395,i feel respected and such,joy,respected
3396,im feeling a bit suspicious,fear,bit suspicious
3397,i feel honored to even be mentioned in the same sentence as derek,joy,honored even mentioned sentence derek
3398,im just not feeling it at all id much rather stay in singapore and spend time with my friends i hate everyone and sara is being really bitchy right now div style clearboth padding bottom,anger,much rather stay singapore spend friends hate everyone sara really bitchy right clearboth padding bottom
3399,im feeling generous or in a restaurant like the mandarin grill which has a fairly stellar reputation this impression may be extended to edible yet decorative garnishes like samphire,love,generous restaurant like mandarin grill fairly stellar reputation impression may extended edible yet decorative garnishes like samphire
3400,i am quite perplexed by liam i m trying to figure out if he s always been submissive or does he feel he needs to be submissive to mark and johnny,sadness,quite perplexed liam trying always submissive needs submissive johnny
3401,i would not feel so all alone everybody must get stoned,sadness,would alone everybody must get stoned
3402,i feel honored that the veil was lifted in that moment,joy,honored veil lifted moment
3403,i bought this one a couple years ago and it makes you feel a little glamorous,joy,bought one couple years ago makes little glamorous
3404,i feel stressed i tend to scrapbook and make cards,anger,stressed tend scrapbook make cards
3405,i feel very unwelcome and unwanted everywhere,sadness,unwelcome unwanted everywhere
3406,i must admit no matter how early i start playing christmas music and doing my holiday shopping the tree makes everything feel so much more holly and jolly,joy,must admit matter early playing christmas music holiday shopping tree makes everything much holly jolly
3407,i feel pressured to write because i pressure myself to write or at least that it s just ingrained to do so,fear,pressured write pressure write least ingrained
3408,i feel like todays sweet treat would be something served at the north pole,joy,like todays sweet treat would something served north pole
3409,i don t feel that irritated,anger,irritated
3410,i feel that way makes me even more angry,anger,way makes even angry
3411,i feel like that enables her rotten ass even more but i am at a total,sadness,like enables rotten ass even total
3412,i havent been like that lately and i am seriously feeling depressed about it,sadness,havent like lately seriously depressed
3413,i may finally sit down and feel sweet release only to notice i have misplaced my glasses or that the kids have found a unique place for them,joy,may finally sit sweet release notice misplaced glasses kids found unique place
3414,i feel ashamed oh how romantic,sadness,ashamed oh romantic
3415,i have been feeling especially emotional for some reason,sadness,especially emotional reason
3416,i feel so despised and i feel this world is crumbling onto me again,anger,despised world crumbling onto
3417,i feel honored to have had the opportunity to sign my book within the walls of this library,joy,honored opportunity sign book within walls library
3418,i feel really cold and miserable but i try to motivate others who are finding the walk as trying as i am,anger,really cold miserable try motivate others finding walk trying
3419,i feel terrible no one want to listen to me either,sadness,terrible one want listen either
3420,i still likeguy and i still feel guilty,sadness,still likeguy still guilty
3421,i feel if it aint broke why fix it,sadness,aint broke fix
3422,im sorry for how bad i hurt your feelings that make you feel unloved and alone feeling afraid to love and trust again,sadness,sorry bad hurt feelings make unloved alone afraid love trust
3423,i must say though i have been feeling pretty violent,anger,must say though pretty violent
3424,i feel so strongly and passionate about so hearing that just made my heart sink,joy,strongly passionate hearing made heart sink
3425,i don t feel that i am being punished for hidden sin in my life,sadness,punished sin life
3426,i would feel so devastated that every channel i click on the the tv was another sport event or maybe the same sport event but in different language,sadness,would devastated every channel click tv another sport event maybe sport event different language
3427,im just feeling that dating is an important part of growing up,joy,dating important part growing
3428,i feel reasonably assured run no magical genealogical strains,joy,reasonably assured run magical genealogical strains
3429,i am feeling extremely pleased with myself and i decide to give the guy another rupees,joy,extremely pleased decide give guy another rupees
3430,i do that i d feel regretful,sadness,regretful
3431,i feel we need to bear in mind though is that there are low cost resort rooms in europe and england if we look,sadness,need bear mind though cost resort rooms europe england look
3432,i am also noticing that i can only handle so much incoming information or i start to feel overwhelmed,surprise,also noticing handle much incoming information overwhelmed
3433,i feel so pathetic that i stoop down to that level but i really really just want to be happy with whatever i have,sadness,pathetic stoop level really really want happy whatever
3434,im feeling a little less jaded,sadness,little less jaded
3435,i am sick of you feeling sad and upset so lets do angry because angry i can handle,sadness,sick sad upset lets angry angry handle
3436,i love the feeling of running in the cold when you can see your breath and cold air seems to refresh you from the inside out,anger,love running cold see breath cold air seems refresh inside
3437,i feel so blessed now that i think something tragic is going to happen to me in the future huhuhu see i m still battling that thinking positive thing,joy,blessed think something tragic going happen future huhuhu see still battling thinking positive thing
3438,i was feeling hopeful around the time i took it,joy,hopeful around took
3439,i may feel stress unhappy,sadness,may stress unhappy
3440,i was reluctant but hey i was feeling so lousy i had nothing to lose,sadness,reluctant hey lousy nothing lose
3441,i did wake up feeling pretty energetic so thats a positive anyway,joy,wake pretty energetic thats positive anyway
3442,i get the pre birthday blues when i spend or weeks feeling slightly melancholy because of all the things i havent done while my life whizzes by,sadness,get birthday blues spend weeks slightly melancholy things havent done life whizzes
3443,i feel like i have to start taking it more seriously but i m already exhausted,sadness,like taking seriously already exhausted
3444,i was ashamed of my family and i was ashamed of myself for feeling ashamed,sadness,ashamed family ashamed ashamed
3445,i love winter so maybe i should be happy but i cant i feel gloomy and depressed,sadness,love winter maybe happy gloomy depressed
3446,i feel scared that i own it,fear,scared
3447,i feel i owe my adoring fans a lj entry every once and a while,love,owe adoring fans lj entry every
3448,i feel i had to make as a hateful bastard is too stupid to make any assumed connections that are not themselves hateful,anger,make hateful bastard stupid make assumed connections hateful
3449,i feel really honored and excited to have met her,joy,really honored excited met
3450,i feel a strange sense of legacy,surprise,strange sense legacy
3451,i just remember feeling really dazed and amazed that it had all happened little did i know if you are about to have or have just had surgery then good luck i m sure i ve had the bad luck for everyone,surprise,remember really dazed amazed happened little know surgery good luck sure bad luck everyone
3452,i feel hesitant to do it since i don t have any experience with programming and all,fear,hesitant since experience programming
3453,i feel helpless powerless and out of control,sadness,helpless powerless control
3454,i am feeling impatient i havent been blogging because each day was pretty similar sleep eat pregnancy pains sleep etc,anger,impatient havent blogging day pretty similar sleep eat pregnancy pains sleep etc
3455,i also need to remember how bad overeating makes me feel not just the fullness but the hangover i get from food thats too rich or too sugary,joy,also need remember bad overeating makes fullness hangover get food thats rich sugary
3456,i started to feel melancholy and uncertain and really missing my son,sadness,started melancholy uncertain really missing son
3457,i guess the finality of my decision and the financial repercussions have me feeling doubtful,fear,guess finality decision financial repercussions doubtful
3458,i was driving back i was having a moment of missing new orleans and feeling really sad when it just hit me that i was able to go visit them for the night on a whim and i felt such a peace,sadness,driving back moment missing new orleans really sad hit able go visit night whim peace
3459,i can but i feel massively uncomfortable doing it it consumes massive amounts of processing power and i associate it with some very bad situations ive been in recently,fear,massively uncomfortable consumes massive amounts processing power associate bad situations recently
3460,i overly pc in feeling a little shocked,surprise,overly pc little shocked
3461,i am just feel so shy cause i realized those people behind me just didnt dance and look at us gt,fear,shy cause realized people behind dance look us gt
3462,i cant help but feel helpless and overwhelmed by the mistakes ive made,sadness,help helpless overwhelmed mistakes made
3463,i feel it like a dull ache,sadness,like dull ache
3464,i compare it to mine i feel irritated but i tried to be realistic to calm my self down,anger,compare mine irritated tried realistic calm self
3465,i start feeling really lousy but figure it was pregnancy stuff,sadness,really lousy pregnancy stuff
3466,i feel whiney at the moment,sadness,whiney moment
3467,i don t really like to have the same kind of music all night but i do want all the bands to feel like they played with someone they liked,love,really like music night want bands like played someone liked
3468,i brush it to the side or tuck it behind my ear only to feel a few rebellious strands escape and tickle my cheeks and my lips i realize im not the one in control,anger,brush side tuck behind ear rebellious strands escape tickle cheeks lips realize one control
3469,i am also now down lbs so i feel so good i still have another to go at least well thats the plan anyway,joy,also lbs good still another go least well thats plan anyway
3470,i feel like i cant be brave,joy,like brave
3471,i wish that my family and i didnt feel this need to keep her constantly entertained when shes around because shes always bored out of her mind irregardless of what we do with her and doesnt remotely appreciate our efforts to tolerate everything about her but whatever,joy,wish family need keep constantly entertained shes around shes always bored mind irregardless doesnt remotely appreciate efforts tolerate everything whatever
3472,i think my feelings remix is the result of how neurotic i can be,fear,think feelings remix result neurotic
3473,i have a collar complete with padlock at the back that i wear when im feeling submissive,sadness,collar complete padlock back wear submissive
3474,i felt empowered telling him how it had affected me how i had come close to suicide because of the severe distress it had caused me to continue to feel long after the unpleasant encounter where what i felt was disregarded completely,sadness,empowered telling affected come close suicide severe distress caused continue long unpleasant encounter disregarded completely
3475,i do not believe all media content is bad in fact much of it i feel is absolutly vital to human flourishing,joy,believe bad fact much absolutly vital human flourishing
3476,i admits to feeling remorseful after her outbursts width height,sadness,admits remorseful outbursts
3477,i still dont know what to make of it all but somehow i feel even more assured that what i teach works,joy,still know make somehow even assured teach works
3478,im thankful to work in a place where i can feel comfortable and supported,joy,thankful work place comfortable supported
3479,i did not know was that she was of the damned and that she had had centuries to hone the very words she wielded against me with their razor edge in hindsight i cannot help but feel resigned to the fate that inevitably followed for i was helpless to withstand her,sadness,know damned centuries hone words wielded razor edge hindsight cannot help resigned fate inevitably followed helpless withstand
3480,i feel unsure or neutral about changing but really does not want to change,fear,unsure neutral changing really want change
3481,i feel depressed moody and just lethargic and tired,sadness,depressed moody lethargic tired
3482,i really like in choir the people who i feel are really friends in choir who are sincere to me are not going for the trip and i feel really lost,joy,really like choir people really friends choir sincere going trip really lost
3483,i worked as a computer tech this ability to hyper focus on one issue is a real asset however for living day to day i can get bogged down and feel frustrated that i am not making progress because i am focused on one problem,anger,worked computer tech ability hyper focus one issue real asset however living day day get bogged frustrated making focused one problem
3484,i feel so damaged in that i cannot speak,sadness,damaged cannot speak
3485,i am new to this so feels kind of strange but i will push through it,fear,new feels strange push
3486,i rarely feel hesitant to say something sometimes even too much,fear,rarely hesitant say something sometimes even much
3487,i felt jealous when you i feel insecure when,fear,jealous insecure
3488,i hope that one day i feel some sort of divine inspiration and motivation and that these fasts will come easy for me but for now they are on my back burner something i hope to focus on after i am done having and raising children,joy,hope one day sort divine inspiration motivation fasts come easy back burner something hope focus done raising children
3489,i don t feel unwelcome there,sadness,unwelcome
3490,i did not sleep better my food did not taste better my thoughts were not clearer i did not feel more vigorous i was in essence pounds of body and mind almost exclusively devoted to thinking about the cigarette i wanted but could not have,joy,sleep better food taste better thoughts clearer vigorous essence pounds mind almost exclusively devoted thinking cigarette wanted could
3491,i no longer feel disadvantaged by my ethnicity and the fact that the majority of gay men are racist and dont wanna date asians,sadness,longer disadvantaged ethnicity fact majority gay men racist wanna date asians
3492,i do not want to feel regretful because i did not stop you from smoking before so much damage was done,sadness,want regretful stop smoking much damage done
3493,i haul of each to the lava planet and export them down to the space port feeling fairly clever,joy,haul lava planet export space port fairly clever
3494,i only want to write here when i am feeling unhappy,sadness,want write unhappy
3495,i feel low and lost and lonely on a grey day,sadness,lost lonely grey day
3496,im feeling the moxie fab love cath script src http www,joy,moxie fab love cath
3497,i have just good news to share and it feels so amazing just being able to sit here and feel relief and sunshine,joy,good news share feels amazing able sit relief sunshine
3498,i felt myself melting away again but this time it was a happy feeling not a scared one,fear,melting away happy scared one
3499,i now feel a longing for knowledge,love,longing knowledge
3500,i try to come up with ideas that i feel are clever to keep the my pieces fun to make and interesting to look at,joy,try come ideas clever keep pieces fun make interesting look
3501,i feel more happiness and are more peaceful,joy,happiness peaceful
3502,i feel sorry for the employees but if this is the way applebees ceo behaves its best if the chain is starved to death by caring consumers,sadness,sorry employees way applebees ceo behaves best chain starved death caring consumers
3503,im feeling depressed anxious and despondent thats all i seem to want to do,sadness,depressed anxious despondent thats seem want
3504,i was feeling a bit rushed and the kitchen has just been cleaned so i mixed up in the blender which i find works just as well provided your butter is really cold and you dont over do the pulse,anger,bit rushed kitchen cleaned mixed blender find works well provided butter really cold pulse
3505,i feel like this week these photos are kind of boring and uninspiring,sadness,like week photos boring uninspiring
3506,ive been feeling much more confident,joy,much confident
3507,i feel were most successful sodden shattered squeeze sardonic and squat,joy,successful sodden shattered squeeze sardonic squat
3508,i am not amazing or great at photography but i feel passionate about it,joy,amazing great photography passionate
3509,i was afraid i was going to freaking explode my muscles locked into place and all i could feel was the absolutely ecstatic sensations ivy s hands were creating,joy,afraid going freaking explode muscles locked place could absolutely ecstatic sensations ivy hands creating
3510,i feel like its flying by and im afraid im going to miss something,fear,like flying afraid going miss something
3511,ive found it im feeling pretty pumped,joy,found pretty pumped
3512,ive been feeling a bit discontent with my music for a while now,sadness,bit discontent music
3513,im confident a lot of people who feel that zimmerman should be punished,sadness,confident lot people zimmerman punished
3514,i feel your prick every night when you re dreaming about me and i she paused dramatically i am not impressed,surprise,prick every night dreaming paused dramatically impressed
3515,i feel so excited about it,joy,excited
3516,i do love air at alton towers though i feel like im flying its a lovely free feeling though to be fair if any bird flew as fast randomly and upside as that rollercoaster i think it would end up beak first into the nearest tree,love,love air alton towers though like flying lovely free though fair bird flew fast randomly upside rollercoaster think would end beak first nearest tree
3517,i am feeling particularly annoyed at my co workers i sometimes make the rounds of the floors finding literally pounds of white paper in the trash,anger,particularly annoyed co workers sometimes make rounds floors finding literally pounds white paper trash
3518,i did it i survived our very first big kid trauma though i still feel shaken by the whole event,fear,survived first kid trauma though still shaken whole event
3519,i started secondary school at the age of every night i would cry and lose sleep over the thought of school the next day but it wasnt the usual feelings of oh i cant be bothered with school,anger,started secondary school age every night would cry lose sleep thought school next day wasnt usual feelings oh bothered school
3520,i won t get into making excuses for the man he s a big boy and can do that for himself and his staff i walked away from red rooster feeling dissatisfied underwhelmed and confused,anger,get making excuses man boy staff walked away red rooster dissatisfied underwhelmed confused
3521,i look out on this scene i think about how cute it is and enjoy a swelling feeling of pride in the playful delight of my dog,joy,look scene think cute enjoy swelling pride playful delight dog
3522,im feeling a but of melancholy today a bit of sadness but i also feel that the sadness is ok,sadness,melancholy today bit sadness also sadness ok
3523,i am feeling happy,joy,happy
3524,i see what the ritalin culture is doing to the children and their flias i feel shocked,surprise,see ritalin culture children flias shocked
3525,i don t always feel joyful and i quite often throw prayer out the window,joy,always joyful quite often throw prayer window
3526,i feel like this little innocent helpless person needs me and i guess i like to be needed,joy,like little innocent helpless person needs guess like needed
3527,i can tell you exactly what is wrong at this very moment this very second i grieve for my son i miss my son i feel as though i am being punished and living in a hell at times,sadness,tell exactly wrong moment second grieve son miss son though punished living hell times
3528,i kept my heart open and exposed while watching the news every night i would most likely never recover from the rush of helpless and hopeless feelings created by all the tragic stories,sadness,kept heart exposed watching news every night would likely never recover rush helpless hopeless feelings created tragic stories
3529,i do feel sympathetic and try to help when i can but it s different when it s your own community,love,sympathetic try help different community
3530,i feel special now its just fun to say lol amvassago of the i just cant stop laughing when ever i read something and then i see beefy amkris toshibalol amits an epic word so is beef cake amvassago of the nooo,joy,special fun say lol amvassago stop laughing ever read something see beefy amkris toshibalol amits epic word beef cake amvassago nooo
3531,i feel our children are caught up in these unfortunate situations by no fault of their own and they so deserve to have a voice and someone to be there just for them and their best interests,sadness,children caught unfortunate situations fault deserve voice someone best interests
3532,i watched on thanksgiving this morning i am feeling doubly blessed for what god has given me,love,watched thanksgiving morning doubly blessed god given
3533,i feel inadequate in those moments as a momma,sadness,inadequate moments momma
3534,i feel like this was a milestone race and i ve shaken the novice feeling off,fear,like milestone race shaken novice
3535,i am in a place where i feel hopeful of finally getting a job at another warehouse distributors like where i did work but the products are floral instead of stationary accessories art bags and such,joy,place hopeful finally getting job another warehouse distributors like work products floral instead stationary accessories art bags
3536,i am not going to get into saturday night all im going to say is i once again went home sat with billy for a bit then went to bed feeling alone wasted not in the good way and abandoned,sadness,going get saturday night going say went home sat billy bit went bed alone wasted good way abandoned
3537,i feel i was successful in doing that for the waxing moon it s quite a bit different than the hidden sun,joy,successful waxing moon quite bit different sun
3538,i feel more reassured now,joy,reassured
3539,i know i won t last long being ambulatory i feel it even though i try to be as positive as i possibly can,joy,know last long ambulatory even though try positive possibly
3540,i am no expert in nutrition and diet planning i eat to feel strong and keep my energy level up,joy,expert nutrition diet planning eat keep energy level
3541,i literally fell on my knees during one episode which feels so pathetic,sadness,literally fell knees one episode feels pathetic
3542,i feel alone so marginalized by my wacky core beliefs that are shared by a tiny percentage of the u,sadness,alone marginalized wacky core beliefs shared tiny percentage
3543,i think its the case that whether people like anne coulter or ed schultz really feel as outraged as they do their viewers most certainly do feel that kind of outrage and anger about the substance of their collective tirades,anger,think case whether people like anne coulter ed schultz really outraged viewers certainly outrage anger substance collective tirades
3544,i feel really wonderful about myself and love the life i live,joy,really wonderful love life live
3545,i have tryed different ways for people to notice me but i feel fake doing them because none of it is myself,sadness,tryed different ways people notice fake none
3546,i feel low not coz of the situations distance or the person but its that one thing that hurts you and makes you feel responsible for what i have done to myself,sadness,coz situations distance person one thing hurts makes responsible done
3547,i feel guilty for not having made any blog entries for months,sadness,guilty made blog entries months
3548,i must feel loving toward everyone,love,must loving toward everyone
3549,i feel as though i have a blank canvas and can pick any theme i want,sadness,though blank pick theme want
3550,i longed for that feeling i once knew the feeling i treasured once and forgot because of pain,love,longed knew treasured forgot pain
3551,i was feeling extremely anxious,fear,extremely anxious
3552,i honestly feel so unhappy with everything in my life and it isnt simple enough for me to be able to change these things that are making me feel so unhappy with a click of the finger,sadness,honestly unhappy everything life isnt simple enough able change things making unhappy click finger
3553,i went to see my pcm on post for a follow up appointment and i left feeling hopeful and optimistic,joy,went see pcm post follow appointment left hopeful optimistic
3554,i whipped my stuff up from my station and fled to the underbelly of grand central desperate to find a subway map feeling disgusted with how upset i was over my frazzle y meltdown,anger,whipped stuff station fled underbelly grand central desperate find subway disgusted upset frazzle meltdown
3555,i really feel bothered about this specific issue because it feels like i just thrown a couple hundred euros against the wall,anger,really bothered specific issue feels like thrown couple hundred euros wall
3556,i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker,fear,know think way always skeptical painting nails red since also light skin red really going stand cute way year old wear red nails without looking like trying hard looking like hooker
3557,i feel like no matter what my house will never be acceptable to them,joy,like matter house never acceptable
3558,i still sort of agree with that description but i ve come to think that the great thing about this song and about all concise guitar pop songs that so accurately hit home the singular feeling of romantic possibility is the way that it lets you write your own starring scene,love,still sort agree description come think great thing song concise guitar pop songs accurately hit home singular romantic possibility way lets write starring scene
3559,i have a lovely nesty feeling after looking at all that cute teeny weeny clothing,joy,lovely nesty looking cute teeny weeny clothing
3560,i shouldnt be afraid to go out in public and feel paranoid because ive done nothing wrong,fear,afraid go public paranoid done nothing wrong
3561,i volunteered for everything and wound up feeling overwhelmed and people got mad at me for not being able to meet my obligations,surprise,volunteered everything wound overwhelmed people got mad able meet obligations
3562,i am feeling melancholy i ll embrace it and listen to some slow downtempo melancholic pop,sadness,melancholy embrace listen slow downtempo melancholic pop
3563,i saw i had a direct message dm on twitter from a former friend jeff who i no longer feel friendly toward,joy,saw direct message dm twitter former friend jeff longer friendly toward
